047	o11-i25	11	3	23626	144286	10402078	268a2603d7e4ce66f96ec62a5db808d1cb1221dfa4a858fa79941af5a9356684	7127374	2ce97884110591f090972b4576c009b31d262c67151d1c1490ae80c09f8ed482	475256	4df9199fda6a65c4f5920171a911e1f9d133c7396e3fa193ff7be7cdfaffce22	255330547	330373191	certificates/m6-b7-l6-early-c-inaccessible-pair-child-047.lrat.xz
048	o11-i26	11	3	23626	144286	10402078	8076635f51dcafe16d0c4d2cfd2c3ccff6e707de9c625d5b67a569e8b8015618	7124584	f2b4e937cd060720eaaa46d80bed69c0faa8b4bcfc44de41fec4910aeb84c03f	474600	fe4ef4675e15e2a02e15f50ab7097efc4978fde7e87509952faf55e01d48a2f6	257442337	332134418	certificates/m6-b7-l6-early-c-inaccessible-pair-child-048.lrat.xz
049	o11-i27	11	1	23626	144288	10402092	d94a9cbaeebf2e62935637cb55dcdbff73adebf865988b57245f077a093bf956	7128078	2e33d170855847df31bc0630948c1d5a448552df7e8e66a898f9220b7a196e9f	475320	cf62832572c9b58f1073b017c444a2a3e8a587bc9a67f507e0ca10e56179dd8d	253058723	331780399	certificates/m6-b7-l6-early-c-inaccessible-pair-child-049.lrat.xz
050	o11-i28	11	1	23626	144288	10402092	0e71e20d15684c2a687adf70ce96e5a8747b2c61425edf4e70d53b5eb22695f1	7125318	d91174aca9d590e88d7257ba8b5f7eb06a96044c6e05046def577223d26fb22a	474508	14ac91bd01bd1f28be6a591ecbdac282c06f436de4a8342ea1ca15fa89e30aaf	258942339	330150697	certificates/m6-b7-l6-early-c-inaccessible-pair-child-050.lrat.xz
051	o11-i29	11	10	23626	144279	10402032	9e3177cdf999c748f9d54b9079de73092d3d8fb325f5520a2d7ffc72ee4ec320	7166533	e6e0be99b2e51455164ce9606d78d19804331fcf8ed4607315e57b87303e753b	485524	5b692cedb33d74667328f9b8d49384d0a556d0ecf9df1d88383b6277166ce0af	256678832	331661304	certificates/m6-b7-l6-early-c-inaccessible-pair-child-051.lrat.xz
052	o11-i30	11	10	23626	144279	10402031	2b153d0650af398106caa52cf30e95809bb497f1d308a7d58bf68eade556e384	7156200	c198feda6b8f0fd829173a884bd598117df6dfaf406af223d5cc355ff54e6eaf	482864	f2aabab3e9a2e53947f9040aaa15d2c749d421c11a5002d801a0cbf9ab5218a5	256062746	331397419	certificates/m6-b7-l6-early-c-inaccessible-pair-child-052.lrat.xz
053	o23-i00	23	2	23622	143671	10392104	40d116da7aba9c1506162dc1f25f7b9044e8887f188be9b237669d8e9e555046	7124907	d3cfd620fc2352ae7286ec94978f2611efbec9198f6859afa7d597a134bfa3c5	473888	3935699580f24c5a3f7d2e8bac02c7cc9c930244032932db6d155b2697cc7301	254241791	330997693	certificates/m6-b7-l6-early-c-inaccessible-pair-child-053.lrat.xz
054	o23-i01	23	2	23622	143671	10392105	be4a865b34cff16ca7f66bb05792bf97c4c12b57ef6f8f32c9315a29ed1988ae	7127025	9e0aac6b57ccba86bc2bc8f51d106e09d4327e4e497cd13b7a0a77068f80a600	474416	8c6c57b9f66770ac9de9b4700aeb036c1075a5838f9f253841b4a231411de481	256968606	329585553	certificates/m6-b7-l6-early-c-inaccessible-pair-child-054.lrat.xz
056	o23-i03	23	2	23622	143671	10392104	116a7affd36c906c737cab68143652f16e0abd0e06ffac16c1d0ddc1a1869081	7124388	41823e73b65170e4287ab075116c2971a47fe7e8e65e92334161b1339c703e3b	473664	23a2e0caac48f6e6b09fea9dfb0666d3a32bb751f9cd95c1cfd135d77ff4f131	250905751	363207648	certificates/m6-b7-l6-early-c-inaccessible-pair-child-056.lrat.xz
057	o23-i04	23	2	23622	143671	10392105	8f05509a9f555fab9fbf03963150f36c3bc7f43f4b573836c7fb669ce15ef146	7124388	1a454651144496fa4be9eed3c49cebfcfd53d4a1e082e4a797f1c322525c6f82	473676	88c230a105bd69796089676cd7854b41cdd419579460e65e1a6bee483177a906	253395292	329951066	certificates/m6-b7-l6-early-c-inaccessible-pair-child-057.lrat.xz
058	o23-i05	23	2	23622	143671	10392105	6e35e45411926cc6a0f82903fcc8774048fe765391cbe6150ae7137edd30079b	7123910	6fdd437d49655514024831b7438213cdd76d026c3170a3a19bf48cf336d06f5e	473396	5b030b993c4fbc00b860f6b3cf16a8785c1e5984c36d52c29d3e8d49760b56ff	258372785	329461216	certificates/m6-b7-l6-early-c-inaccessible-pair-child-058.lrat.xz
059	o23-i06	23	1	23622	143672	10392111	6baefcf42a8012d5a1549a762b15d00f1faf522605cbb5826d47a8bfe93be4ad	7124363	19d29c247b025ae5ef531e14a6d7892a619d038094345ba67af0505644d98c98	473128	79bd2758fa052cc8b6e9bf2451c8ce81e832eee3097c1c72c881d51e50d27e00	253352838	330836172	certificates/m6-b7-l6-early-c-inaccessible-pair-child-059.lrat.xz
060	o23-i07	23	1	23622	143672	10392112	a3a6ffe98ee72f00b6564c487d3f23fd08ed3d979c0128c9d3aa7753a17980e6	7124363	f9becadbba67fcb551e3045d45140276a4bda184f31242edd14deef44593326b	473128	5366f046ecf432dc5b313fb01499083b8beafe89643b47a9b16a90aa1f6e2d3c	253024993	329119849	certificates/m6-b7-l6-early-c-inaccessible-pair-child-060.lrat.xz
061	o23-i08	23	1	23622	143672	10392112	3301e392f7549b69be26dface4bb28afdeff1099c6b97c57d2bece3abb6c1b52	7123885	68ff23ffaae39896213d6ce0cf1ec51c933bbd1811c76ac4f76601358bb02c81	472992	d17ac51e2195f31bbd0709ed2aaf06a0a57f046265e971b3652946a5ffa000f0	255046431	329396043	certificates/m6-b7-l6-early-c-inaccessible-pair-child-061.lrat.xz
