columns	leaf-ordinal,key,parents,variables,clauses,cnf-bytes,cnf-sha256,lrat-bytes,lrat-sha256,xz-bytes,xz-sha256,solve-nanoseconds,check-nanoseconds,artifact
071	o25-w01	10	23626	144311	10402708	70d5f0590db4671ed867a3706214e932084c6ac22305ce4004cb2fd8bbeef090	7104198	077bcdf09986a2746b068b76b0094a774d3ca5cd201608ead0c936c08f8c8dc7	469080	0c6f98ef5ffce25de7737f37b88ad94bbcfe7a2b8c3baf3cb467b00acce3e694	255290714	330342586	certificates/m6-b7-l6-hard-witness-no-gain-leaf-071.lrat.xz
072	o25-w02	10	23626	144311	10402708	b2b54ce0ae374974147f72dd67d8239d8d8e83be1e2fd81b527a911c9b7227d1	7105811	bbf41303fa3f38953aa54f6d6dfb39bc93fdf209e52d678b0266e36b4ed90e60	469600	3385fd5172f601a058cf0b91de7e24a10efa2eff5859d0493382a28aea3f3497	256702817	331132631	certificates/m6-b7-l6-hard-witness-no-gain-leaf-072.lrat.xz
073	o25-w03	10	23626	144311	10402708	5d016086212301ad604db277b247a3b92c563c6c3ead757ebe0b07ebaec7f7da	7105390	bc2431038cc73fe8526972debbe30129a3c630076eca198d5aa6b9851282c80e	469396	1c18a9b81806bf178145f8f4b6503f3b64d48169ef25509a5b3c000ba6022bff	254340432	330191960	certificates/m6-b7-l6-hard-witness-no-gain-leaf-073.lrat.xz
076	o31-w01	10	23626	144311	10402708	cfa47f45ac44598daf0e5ebc057b69f255317d9c945f491ce15011d8511f5b8e	7105404	d87b38c6ab4ceabf353142776f9d230864244be87a775a0a709e827b0a5d8294	469900	bfc0684d9bec267e09eaf8f1bd8b60f04bb9bb1211f523645c8884b1b109a095	255412642	330793772	certificates/m6-b7-l6-hard-witness-no-gain-leaf-076.lrat.xz
077	o31-w02	10	23626	144311	10402708	8686ed8e84f366618dd4536d24228a0e8ba671d2045be7cbc90badc3d50d4ce8	7105129	b2f2fd275027870593d0949b054ba4a438b2ab708e8a3d0db340f273d9bbbc44	469760	99a419bf55a3de6b3f8ffec46c415863e03a2b5ac465fec8b69a30f89b1609b4	254592731	330266120	certificates/m6-b7-l6-hard-witness-no-gain-leaf-077.lrat.xz
079	o31-w04	10	23626	144311	10402708	a86480dc9543b5ebc41b4706195287f7ebf2e44af96814534078a3b3259ff9ed	7103516	cc0f0b43569868c01aa076ef78c17466dcc2db0064d0da54b86f19a55c7b5d2f	469288	dfc3d30022c35358dc9eb1f2d7681ad9c2438ee41f6b4b0c55535ef94be66efc	252867482	329501775	certificates/m6-b7-l6-hard-witness-no-gain-leaf-079.lrat.xz
080	o31-w05	10	23626	144311	10402708	a625c039a016cdb08f6dd8ca948a97516692a57edd8a649b46b36189e184d3d2	7104819	3b7140ac2ef2378ec4ae9c81463ccde3fc6a3453a77df3131afaa917b7338c53	469728	f9ab634016c6e0838ab38873440da5215252a6a944df5b466d5ce2275d9dbe09	254202655	330841124	certificates/m6-b7-l6-hard-witness-no-gain-leaf-080.lrat.xz
081	o31-w06	10	23626	144311	10402708	29a80431ccfe747ed925aeeaf00d2100f5157e09da62e27fc081cfe8549b9ac6	7104470	0a9cb2df31a990e74775222602602f3fd20d0947da62356e474b377706c692a0	469540	8358488e968d5740a8fd010b9950e256da3f4c2fdce96ceb33d69a7df0e6b30f	255329388	330344960	certificates/m6-b7-l6-hard-witness-no-gain-leaf-081.lrat.xz
083	o32-w01	10	23626	144311	10402708	259ea056243c5b4e9b56fd91f47ab8bf714489a5293aaf485b598d4b22670a80	7105584	ba35bd36d7de538a595473b88a2f293fc49e61b97f8b9b71600b006948cb5a86	469872	5f0001014dbbf6271989510ac8b3e17b26178564cfac4fda2e12055d87cb18f4	251519710	331607892	certificates/m6-b7-l6-hard-witness-no-gain-leaf-083.lrat.xz
084	o32-w02	10	23626	144311	10402708	9489082c8106233b55c1736423db4d1653f588a90b90f34e9232d182253bc4e9	7105459	95a9929067639f752d45955ca167434475826972ef339a0852eab46f70a86db7	469756	aa9dfe8c0840a712b52a6de45afacd7f879c807b43b40f90d2ebc62bc98b2305	252739961	329736957	certificates/m6-b7-l6-hard-witness-no-gain-leaf-084.lrat.xz
086	o32-w04	10	23626	144311	10402708	28d50fbd46a264623313234eab501233c3fc1dd8271fcd95dc84a3ae062b7588	7103658	102152424bea6be7780aee2d65348b65ac2ada3ca500be73dd96b0d5d98f3402	469244	a009c7ac6beb032e5f687403778f3827e7529ba696b18aafc05a385ebf301bb0	253787007	330160850	certificates/m6-b7-l6-hard-witness-no-gain-leaf-086.lrat.xz
087	o32-w05	10	23626	144311	10402708	07320df92cb403a80084bb04b6df44ae3f2c7cc1b8882f9b7189ff6012e76ba6	7104925	90a8ed4295d2ad9bba042717df37be115e9a60bf94d4b82c56ec944b9fdb41ff	469664	e40b619c0aa353a07c8495c2364b1970987a7828e50891487be1cd2ac621e7dd	251854823	330663507	certificates/m6-b7-l6-hard-witness-no-gain-leaf-087.lrat.xz
088	o32-w06	10	23626	144311	10402708	5ce016e79075b5f0b6874f2a2a78728ba7e032c7a0eb5fe10cdf44443da60ebb	7104792	104cfe427ccdd1a68f638ab9017d116780ec10b084d076fe9482d503165ce244	469560	8a6dd7ebb0b01837364910bd3983364f12329d3f767966d4df5ab77a8dbedee6	252488633	331107165	certificates/m6-b7-l6-hard-witness-no-gain-leaf-088.lrat.xz
089	o33-w00	10	23626	144311	10402708	efd2d280c5cf59ffbede6b8b2d081bf3b609fd2c9405a7ecdecfbceb1fca08f7	7106270	eaf223a44f55de5a8550addd2858ebe9dfb3ccd7a1f60d0f61cd932eb2d17d27	469988	51ecffa5c89d5d9ca79692a4d4278d713602e781bccc7a6ca7b1243841dcee93	252550266	331881335	certificates/m6-b7-l6-hard-witness-no-gain-leaf-089.lrat.xz
090	o33-w01	10	23626	144311	10402708	cc99aa3581328e825397d909a8f4be519ae40735fd8f0d41da009cfafe584121	7134955	26e641314a5de9376852f008d206cb5cd6e614a8885ecb280d9c1d320e794927	476960	5b966b1ba38b85a8bcb333b7ad72780fa30dec25a410e76105fc20b0aedd84e3	257354144	329664139	certificates/m6-b7-l6-hard-witness-no-gain-leaf-090.lrat.xz
091	o33-w02	10	23626	144311	10402708	4de8ab35209ed9bc933c27401bf9938dab5dc34b34438091f42381b5db49b00e	7104072	e1bf30dff5a14b79d3643369021e3f31b8488a39b146ff05cfbe4febb4f4f1b2	469276	c4f884a22723c8f63336dd4bf1e8cd8db462a7199a32ca3b226c11e4b931e215	255684880	330402536	certificates/m6-b7-l6-hard-witness-no-gain-leaf-091.lrat.xz
092	o33-w03	10	23626	144311	10402708	b6bfe08c6743ec7b2220bb2a164105c0296f5393950758b823d01c2ffb93105b	7105374	5e0a2f80fb68a8009da17f290de6b51c2bcb2fbcfa16a3aa6d0016dbb1611558	469736	d8ff2b55835faa04eb12070dc9e4a75b4904c2c3c92386d88bf147eeeba501af	252293111	329228354	certificates/m6-b7-l6-hard-witness-no-gain-leaf-092.lrat.xz
095	o37-w00	10	23626	144294	10402568	45548261bf4843d4ffa678fcbd157fe877819cd21b97bee3e07a5b76238fbefe	27778508	0376486b47a739356953f26dce4d8cf783bf1e3bd09f0fc7361b695625214b5a	4571652	b6e2acad6c0e0829c05ea7e3caa073fed4bd31a5f93a8e755241cec3032681bc	2104486855	720633018	certificates/m6-b7-l6-hard-witness-no-gain-leaf-095.lrat.xz
096	o37-w01	10	23626	144294	10402568	112f02e022cffc86f698ff360a224a70d4bb8ee304474613ca70cf03343b231d	7103476	f46c850a6238dd2c9b00c997935148b92b48c3eff5f22dd7de9b36e8b76a1afa	469220	79174454a9cbd988572317058aa24631550460f3d199988fb2811e82a03c1a77	253962347	331661438	certificates/m6-b7-l6-hard-witness-no-gain-leaf-096.lrat.xz
097	o37-w02	10	23626	144294	10402568	0376a188def6827c6b844fe690f565b028d2f3a29c1dc7755abd10c951e852b0	7103081	f45671c8d646b4fa515bfa80776f8a7e77237cafb2d44df413345c37f59db44f	469036	de9ceea3425662fefa58c968ee45827973119b345b04708656c56df118aa5d89	253707955	329251720	certificates/m6-b7-l6-hard-witness-no-gain-leaf-097.lrat.xz
100	o39-w02	10	23626	144311	10402708	a1a3d8e75455be2b467d5fbaccfaa289c4087ff05bfd2b918a04de4a1b8496a8	7105352	45aece78bc07e4fcef258b385b45f1dbe1a633b352291ad96b17509097067c41	469812	4e86ed44fd73b537565d340c2f9ae0802531c409cb830b1c70bbbdd4830b426a	251679239	329842356	certificates/m6-b7-l6-hard-witness-no-gain-leaf-100.lrat.xz
