m6-b7-l6-hard-witness-no-gain-v1
witness-manifest-bytes	7151
witness-manifest-sha256	0329c78e2f563670c623206daf8b6b143c3813eac2f50d5e6f7c12b6b791186a
witness-hash-ledger-bytes	11078
witness-hash-ledger-sha256	d38e453e802408fb61b0c8f91641f16e231cfbec875993256b8dfe5acfa59513
witness-scout-bytes	48447
witness-scout-sha256	1452d679f8cbb12350ec37564f69303fdbc04b3cecf1c037d66f99d8e72d1a3a
prior-certificate-ledger-bytes	6987
prior-certificate-ledger-sha256	cd46a986097405c2d270f15f2525df67e586cc53137e09ef5eafeafd42f2bd02
leaves	117
parent-incidences	1066
children-per-source	1
scope	exact-no-gain-only; gain refinements excluded
columns	leaf-ordinal,key,parent-orbit,parent-key,high-C,ordered-witnesses,negative-path-units,parents,variables,clauses
071	o25-w01	25	s21-t2	16,17	12,12	32	10	23626	144311
072	o25-w02	25	s21-t2	16,17	12,13	32	10	23626	144311
073	o25-w03	25	s21-t2	16,17	17,12	32	10	23626	144311
074	o30-w00	30	s24-t2	16	11	16	10	23626	144294
075	o31-w00	31	s25-t0	16,17	11,9	32	10	23626	144311
076	o31-w01	31	s25-t0	16,17	11,14	32	10	23626	144311
077	o31-w02	31	s25-t0	16,17	11,16	32	10	23626	144311
078	o31-w03	31	s25-t0	16,17	14,9	32	10	23626	144311
079	o31-w04	31	s25-t0	16,17	14,14	32	10	23626	144311
080	o31-w05	31	s25-t0	16,17	14,15	32	10	23626	144311
081	o31-w06	31	s25-t0	16,17	14,16	32	10	23626	144311
082	o32-w00	32	s25-t1	16,17	11,10	32	10	23626	144311
083	o32-w01	32	s25-t1	16,17	11,13	32	10	23626	144311
084	o32-w02	32	s25-t1	16,17	11,16	32	10	23626	144311
085	o32-w03	32	s25-t1	16,17	13,10	32	10	23626	144311
086	o32-w04	32	s25-t1	16,17	13,13	32	10	23626	144311
087	o32-w05	32	s25-t1	16,17	13,14	32	10	23626	144311
088	o32-w06	32	s25-t1	16,17	13,16	32	10	23626	144311
089	o33-w00	33	s25-t2	16,17	11,12	32	10	23626	144311
090	o33-w01	33	s25-t2	16,17	11,16	32	10	23626	144311
091	o33-w02	33	s25-t2	16,17	12,12	32	10	23626	144311
092	o33-w03	33	s25-t2	16,17	12,13	32	10	23626	144311
093	o33-w04	33	s25-t2	16,17	12,16	32	10	23626	144311
094	o36-w00	36	s27-t2	17	11	16	10	23626	144294
095	o37-w00	37	s28-t0	16	12	16	10	23626	144294
096	o37-w01	37	s28-t0	16	13	16	10	23626	144294
097	o37-w02	37	s28-t0	16	17	16	10	23626	144294
098	o39-w00	39	s29-t0	16,17	12,9	32	10	23626	144311
099	o39-w01	39	s29-t0	16,17	12,14	32	10	23626	144311
100	o39-w02	39	s29-t0	16,17	14,9	32	10	23626	144311
101	o39-w03	39	s29-t0	16,17	14,14	32	10	23626	144311
102	o39-w04	39	s29-t0	16,17	14,15	32	10	23626	144311
103	o39-w05	39	s29-t0	16,17	17,9	32	10	23626	144311
104	o39-w06	39	s29-t0	16,17	17,14	32	10	23626	144311
105	o40-w00	40	s29-t1	16,17	12,10	32	10	23626	144311
106	o40-w01	40	s29-t1	16,17	12,13	32	10	23626	144311
107	o40-w02	40	s29-t1	16,17	13,10	32	10	23626	144311
108	o40-w03	40	s29-t1	16,17	13,13	32	10	23626	144311
109	o40-w04	40	s29-t1	16,17	13,14	32	10	23626	144311
110	o40-w05	40	s29-t1	16,17	17,10	32	10	23626	144311
111	o40-w06	40	s29-t1	16,17	17,13	32	10	23626	144311
112	o41-w00	41	s29-t2	16,17	12,11	32	10	23626	144311
113	o41-w01	41	s29-t2	16,17	12,12	32	10	23626	144311
114	o41-w02	41	s29-t2	16,17	12,13	32	10	23626	144311
115	o41-w03	41	s29-t2	16,17	17,11	32	10	23626	144311
116	o41-w04	41	s29-t2	16,17	17,12	32	10	23626	144311
