m6-b7-l6-hard-witness-positive-gain-coordinate-residual-singleton-parent-hashes-v1
manifest-bytes	207703
manifest-sha256	953f94ea423c3cd573a3e9bce43ba9fb4d5d6fa80ac2ac1426e7129e6435c0c5
memberships	1382
columns	membership-ordinal,key,residual-leaf-ordinal,parent-ordinal,accepted-ordinal,cover-index,variables,clauses,cnf-sha256
0064	r010-o01-w04-c17-p04-a28744	010	04	28744	119564	23622	143669	2b40acf86c38d8ac67215b6e559c6715f439aa9e1968d160b39315700ee3c887
0065	r010-o01-w04-c17-p05-a28749	010	05	28749	119573	23622	143669	867be094f2f4269b9aca18acb590b6c4b275c81a6bacca2e89db3614df218e10
0066	r011-o02-w00-c16-p00-a24090	011	00	24090	112962	23622	143669	b4d731afa0c24c72ca84cb50c689a94978f578f8451ceb79880da75556ea05bb
0067	r011-o02-w00-c16-p01-a24118	011	01	24118	113012	23622	143669	411c9887ad68d87f36e7cedc6107fddb8f968165664eafd5a84ce26bd4c48928
0068	r011-o02-w00-c16-p02-a24123	011	02	24123	113021	23622	143669	d7fe99b7271d7d5f8bba878148f8c53756d7bd6cbc636e473726b67419b5464a
0069	r011-o02-w00-c16-p03-a28682	011	03	28682	119452	23622	143669	ea61706cda981a7c7b3309841b43ff4a8cb13f44519344914a9aad971b79f1ce
0070	r011-o02-w00-c16-p04-a28744	011	04	28744	119564	23622	143669	9e4ee1f7380d4d94b61a82e57736e2bf84a5fb1d5a136e203b073f265017ef54
0071	r011-o02-w00-c16-p05-a28749	011	05	28749	119573	23622	143669	bd2c6540bb8749f90297eb77ce74e9bb2dc632501cb8a1444dabd38196196db7
0072	r012-o02-w00-c17-p00-a24090	012	00	24090	112962	23622	143669	1e50d68a936e4bf69bd878ff607d8124af2523e6284df2cdac680753a6a86d2c
0073	r012-o02-w00-c17-p01-a24118	012	01	24118	113012	23622	143669	f277376ccccdd130b931099f0fc596f0c58e5c38c0110aaca5aa71f5512aa6e0
0074	r012-o02-w00-c17-p02-a24123	012	02	24123	113021	23622	143669	261b30edc70b8bad7f7631fd2a272c020c19f88648d5f466247df3bdb2f89672
0075	r012-o02-w00-c17-p03-a28682	012	03	28682	119452	23622	143669	2a0ebcf5eb3e3f6ea8fb68940328a767b637b6494dc67ef05b75346d33620002
0076	r012-o02-w00-c17-p04-a28744	012	04	28744	119564	23622	143669	2d5448c7914e0b6f7d1383f9ea8ad91ee1a159075581a5fa5802b45e18a140b1
0077	r012-o02-w00-c17-p05-a28749	012	05	28749	119573	23622	143669	99d66a755dff241520f6348dc401bca69387cedf3b2819790da418db1b0713d4
