046	p00-c046	00	046	2300	2350	50	26099	159968	10784716	79b66c9e46bcf19a004326f9b5a09c4b4721bfe10d886ee15d4db0325ec7b2d6	31000648	bcfa50458acf2dd999ca0f0b653a7e01d6037a2d69827713fecc168f2b8580b7	4667292	c647a302ca72c5c9f78519f719c0c2fed3d9b7539d18394dfff350a5834dc63e	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-046.lrat.xz
047	p00-c047	00	047	2350	2400	50	26099	159968	10784716	82bc7cfb88829ae8f16c6eec59357d9ebabd42bc24b604b35f11cedc7280a437	57475738	abe6be93641dca985efa393756ccb80566f9e54664d3f4489952d3c42a7bba52	10381080	c5427d0561c0cb8313cb0f1718a848044ab1e0291383608b67ae34f229196468	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-047.lrat.xz
048	p00-c048	00	048	2400	2450	50	26099	159968	10784716	b6edecc14c4d61683507624aff9e01b87a0636582bc41e120e779669bfaf9d93	72035658	b555bc8a3f547969e8f30dc9a133a6efed8ae46f08779e9386755b8234e9d76d	13359048	1b7ea22f077a00754311aa7eaeab191669d853c5a0230b88c79940485e8f218d	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-048.lrat.xz
049	p00-c049	00	049	2450	2500	50	26099	159968	10784716	efe24339056129dd377978517c0123d644c5e31df525327693e68a3359f52603	54539289	4f8e44c1996b28be861801ec16f3b2d1f12c5c21a3380cc45cb247ef7c75468b	9689956	9f46ed2da89361b04363e3b51c1bc40fe9face8746ef0328a2c4a81ecd543d0e	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-049.lrat.xz
050	p00-c050	00	050	2500	2550	50	26099	159968	10784716	81cc797012d89d076f65c6bcda21b9ef225df81c913445ebc8b1c73e478ff6dd	47484868	60de68963a41ab6dfc66869f1fc49aefaf165d00b7750bf692bb9885eefe5142	8468788	2bb369e620cf4b60f395081bfa387f049443b7de9c78724a9ea89ef4e81ecdba	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-050.lrat.xz
051	p00-c051	00	051	2550	2600	50	26099	159968	10784716	b1f5a73c3bb1f7820e02da13edf76e5aed01be622cf878c4ba6b56318a7d37b2	29678771	c173ec7d6f71ae8f132a4a58c87f6c651df02cf62dd915412e1d541b91fb8eb5	4536976	16e17332d8c55a7ce488fbc5483e498767a8359c99932a42267bceb163e1922a	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-051.lrat.xz
052	p00-c052	00	052	2600	2650	50	26099	159968	10784716	00c2bec40145e2b81403c3d61b394391f535c44348799c36b5a2aea2f0dd1c81	42619741	d6cf0dea240975d77a515429747b7d2b0c372f75e5d021b0c49a9e42af27b1ae	7201920	fc7e1647b6efe5b59e70e40e6fbcb1f7d8ffc4051472e8d5884ed59a3cee4a82	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-052.lrat.xz
053	p00-c053	00	053	2650	2700	50	26099	159968	10784716	a9fb5b7d966257c352e98e7fcb0e35e3bb401e97ba484b6987a6b977239df49a	77283897	28304c22bdb800aa32db6430b33b534fd3b01b803d0684dacb7226a9bc5817a9	14099304	f56690af09b77f7965359d212e2d3bc55c90fe52170c762d63eac6ad2ba407c0	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-053.lrat.xz
054	p00-c054	00	054	2700	2750	50	26099	159968	10784716	43b918c15c205f155cafda052639bf8feffd10ba9c23f61ae207e3e27ea7d287	62265121	93273d6a95e1681b9a72469873e70d9fdf2a0dcf1398b7d94df30144b2c852fb	11283068	7aa1fa14b764673dbedac7e0c932b9f92f7920d60291c4f63de73eac5e8c8bc0	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-054.lrat.xz
055	p00-c055	00	055	2750	2800	50	26099	159968	10784716	c2f2014308fa11fef749492da1876c7e84391eec9cc89bbe266636a61450e1d2	46182033	569876c29cb6cd5e4a94d0dfafe1e6a494de587cc99130933826a95aa52a5744	8030460	9df793ce51aadbebe2e72b794f51a1bcaa4c4da653c3674febfa39a20d6288eb	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-055.lrat.xz
