n,H_negative,mu,mertens,abs_mertens,mertens_d1,mertens_back4,mertens_forward4,mertens_back8,mertens_forward8,is_prime,omega,bigomega,is_squarefree,is_prime_power,prime_power_exponent,prime_gap,distance_prev_prime,distance_next_prime,squarefree_run_left,squarefree_run_right,squarefree_count_5,squarefree_count_9,prime_power_count_9,psi_bit_mass_d1,psi_bit_mass_back4,psi_bit_mass_forward4,psi_bit_curvature4
293,0,-1,-8,8,-1,-1,0,-1,2,1,1,1,1,1,1,24,0,0,1,1,3,4,2,9,9,9,0
294,0,0,-8,8,0,0,1,0,4,0,3,4,0,0,0,14,1,13,0,0,2,5,1,0,9,0,-9
295,0,1,-7,7,1,0,2,0,5,0,2,2,1,0,0,14,2,12,1,1,2,5,1,0,9,0,-9
296,0,0,-7,7,0,0,2,0,5,0,2,4,0,0,0,14,3,11,0,0,2,4,1,0,9,0,-9
297,0,0,-7,7,0,1,2,0,5,0,2,4,0,0,0,14,4,10,0,0,3,5,1,0,0,0,0
298,0,1,-6,6,1,2,3,2,6,0,2,2,1,0,0,14,5,9,1,2,2,5,0,0,0,0,0
299,0,1,-5,5,1,2,3,2,5,0,2,2,1,0,0,14,6,8,2,1,3,6,0,0,0,0,0
300,0,0,-5,5,0,2,3,2,3,0,3,5,0,0,0,14,7,7,0,0,4,5,0,0,0,0,0
301,0,1,-4,4,1,3,3,4,3,0,2,2,1,0,0,14,8,6,1,3,4,6,0,0,0,0,0
302,0,1,-3,3,1,3,3,5,3,0,2,2,1,0,0,14,9,5,2,2,3,6,0,0,0,0,0
303,0,1,-2,2,1,3,2,5,1,0,2,2,1,0,0,14,10,4,3,1,4,6,1,0,0,0,0
304,0,0,-2,2,0,3,0,5,-1,0,2,5,0,0,0,14,11,3,0,0,3,5,1,0,0,9,9
305,0,1,-1,1,1,3,0,6,-1,0,2,2,1,0,0,14,12,2,1,1,3,6,1,0,0,9,9
306,0,0,-1,1,0,2,0,5,-3,0,3,4,0,0,0,14,13,1,0,0,2,6,1,0,0,9,9
307,0,-1,-2,2,-1,0,-1,3,-2,1,1,1,1,1,1,18,0,0,1,1,3,6,2,9,9,9,0
308,0,0,-2,2,0,0,-1,3,-1,0,3,4,0,0,0,4,1,3,0,0,3,5,2,0,9,9,0
309,0,1,-1,1,1,0,-1,3,-1,0,2,2,1,0,0,4,2,2,1,3,4,6,3,0,9,9,0
310,0,-1,-2,2,-1,-1,-3,1,-3,0,3,3,1,0,0,4,3,1,2,2,3,6,3,0,9,18,9
311,0,-1,-3,3,-1,-1,-1,-1,-3,1,1,1,1,1,1,6,0,0,3,1,4,6,3,9,9,18,9
312,0,0,-3,3,0,-1,0,-1,-1,0,3,5,0,0,0,2,1,1,0,0,4,5,2,0,9,9,0
313,0,-1,-4,4,-1,-3,0,-3,-1,1,1,1,1,1,1,6,0,0,1,2,3,6,3,9,18,9,-9
314,0,1,-3,3,1,-1,0,-2,1,0,2,2,1,0,0,4,1,3,2,1,2,6,3,0,18,9,-9
315,0,0,-3,3,0,0,-2,-1,-1,0,3,4,0,0,0,4,2,2,0,0,3,6,3,0,9,9,0
316,0,0,-3,3,0,0,-1,-1,0,0,2,3,0,0,0,4,3,1,0,0,3,5,2,0,9,9,0
317,0,-1,-4,4,-1,0,-1,-3,0,1,1,1,1,1,1,18,0,0,1,3,3,6,2,9,9,9,0
318,0,-1,-5,5,-1,-2,1,-3,1,0,3,3,1,0,0,14,1,13,2,2,3,6,1,0,9,0,-9
319,0,1,-4,4,1,-1,1,-1,3,0,2,2,1,0,0,14,2,12,3,1,4,6,1,0,9,0,-9
320,0,0,-4,4,0,-1,1,-1,3,0,2,7,0,0,0,14,3,11,0,0,4,6,1,0,9,0,-9
321,0,1,-3,3,1,1,1,1,3,0,2,2,1,0,0,14,4,10,1,3,4,6,1,0,0,0,0
322,0,-1,-4,4,-1,1,0,-1,3,0,3,3,1,0,0,14,5,9,2,2,3,6,0,0,0,0,0
323,0,1,-3,3,1,1,2,0,5,0,2,2,1,0,0,14,6,8,3,1,3,6,0,0,0,0,0
324,0,0,-3,3,0,1,2,0,3,0,2,6,0,0,0,14,7,7,0,0,3,5,0,0,0,0,0
325,0,0,-3,3,0,0,2,1,3,0,2,3,0,0,0,14,8,6,0,0,3,6,0,0,0,0,0
326,0,1,-2,2,1,2,3,3,3,0,2,2,1,0,0,14,9,5,1,2,2,6,0,0,0,0,0
327,0,1,-1,1,1,2,3,3,3,0,2,2,1,0,0,14,10,4,2,1,3,6,1,0,0,0,0
328,0,0,-1,1,0,2,1,3,3,0,2,4,0,0,0,14,11,3,0,0,4,5,1,0,0,9,9
329,0,1,0,0,1,3,1,3,3,0,2,2,1,0,0,14,12,2,1,3,4,5,1,0,0,9,9
330,0,1,1,1,1,3,0,5,1,0,4,4,1,0,0,14,13,1,2,2,3,6,1,0,0,9,9
331,0,-1,0,0,-1,1,0,3,0,1,1,1,1,1,1,20,0,0,3,1,3,6,1,9,9,9,0
332,0,0,0,0,0,1,2,3,2,0,2,3,0,0,0,6,1,5,0,0,3,5,1,0,9,0,-9
333,0,0,0,0,0,0,2,3,2,0,2,3,0,0,0,6,2,4,0,0,3,6,2,0,9,0,-9
334,0,1,1,1,1,0,1,3,3,0,2,2,1,0,0,6,3,3,1,2,2,5,2,0,9,9,0
335,0,1,2,2,1,2,0,3,2,0,2,2,1,0,0,6,4,2,2,1,3,5,2,0,0,9,9
336,0,0,2,2,0,2,0,3,1,0,3,6,0,0,0,6,5,1,0,0,3,4,1,0,0,9,9
337,0,-1,1,1,-1,1,0,1,1,1,1,1,1,1,1,16,0,0,1,1,3,5,1,9,9,9,0
338,0,0,1,1,0,0,2,0,1,0,2,3,0,0,0,10,1,9,0,0,2,5,1,0,9,0,-9
339,0,1,2,2,1,0,2,2,2,0,2,2,1,0,0,10,2,8,1,1,3,4,2,0,9,0,-9
340,0,0,2,2,0,0,1,2,0,0,3,4,0,0,0,10,3,7,0,0,2,3,2,0,9,3,-6
341,0,1,3,3,1,2,1,3,0,0,2,2,1,0,0,10,4,6,1,1,2,4,2,0,0,3,3
342,0,0,3,3,0,2,-1,2,-2,0,3,4,0,0,0,10,5,5,0,0,1,4,1,0,0,3,3
343,0,0,3,3,0,1,0,1,-2,0,1,3,0,1,3,10,6,4,0,0,2,5,2,3,3,3,0
344,0,0,3,3,0,1,-1,1,-2,0,2,4,0,0,0,10,7,3,0,0,2,4,2,0,3,9,6
345,0,-1,2,2,-1,-1,-1,1,-2,0,3,3,1,0,0,10,8,2,1,3,3,5,3,0,3,9,6
346,0,1,3,3,1,0,-1,2,-2,0,2,2,1,0,0,10,9,1,2,2,3,4,3,0,3,18,15
347,0,-1,2,2,-1,-1,-2,0,-4,1,1,1,1,1,1,12,0,0,3,1,4,4,3,9,9,18,9
348,0,0,2,2,0,-1,-1,0,-2,0,3,4,0,0,0,2,1,1,0,0,3,4,2,0,9,9,0
349,0,-1,1,1,-1,-1,-1,-2,-2,1,1,1,1,1,1,6,0,0,1,1,2,5,3,9,18,9,-9
350,0,0,1,1,0,-2,-1,-2,-2,0,3,4,0,0,0,4,1,3,0,0,1,5,3,0,18,9,-9
351,0,0,1,1,0,-1,-2,-2,-1,0,2,4,0,0,0,4,2,2,0,0,2,5,3,0,9,9,0
352,0,0,1,1,0,-1,-1,-2,-2,0,2,6,0,0,0,4,3,1,0,0,2,4,2,0,9,9,0
353,0,-1,0,0,-1,-1,-1,-2,-2,1,1,1,1,1,1,10,0,0,1,3,3,5,2,9,9,9,0
354,0,-1,-1,1,-1,-2,-1,-4,-1,0,3,3,1,0,0,6,1,5,2,2,3,5,1,0,9,0,-9
355,0,1,0,0,1,-1,1,-2,1,0,2,2,1,0,0,6,2,4,3,1,4,6,2,0,9,0,-9
356,0,0,0,0,0,-1,-1,-2,0,0,2,3,0,0,0,6,3,3,0,0,4,6,2,0,9,9,0
357,0,-1,-1,1,-1,-1,-1,-2,0,0,3,3,1,0,0,6,4,2,1,3,4,6,3,0,0,9,9
358,0,1,0,0,1,1,0,-1,2,0,2,2,1,0,0,6,5,1,2,2,3,6,2,0,0,14,14
359,0,-1,-1,1,-1,-1,0,-2,0,1,1,1,1,1,1,14,0,0,3,1,3,5,2,9,9,14,5
360,0,0,-1,1,0,-1,1,-2,0,0,3,6,0,0,0,8,1,7,0,0,3,4,2,0,9,5,-4
361,0,0,-1,1,0,0,1,-1,0,0,1,2,0,1,2,8,2,6,0,0,2,5,2,5,14,5,-9
362,0,1,0,0,1,0,2,1,0,0,2,2,1,0,0,8,3,5,1,1,1,5,2,0,14,0,-14
363,0,0,0,0,0,1,0,0,-2,0,2,3,0,0,0,8,4,4,0,0,2,5,3,0,5,0,-5
364,0,0,0,0,0,1,-1,0,-1,0,3,4,0,0,0,8,5,3,0,0,3,4,2,0,5,9,4
365,0,1,1,1,1,2,-1,2,-1,0,2,2,1,0,0,8,6,2,1,3,3,4,2,0,0,9,9
366,0,-1,0,0,-1,0,-2,0,-3,0,3,3,1,0,0,8,7,1,2,2,3,5,1,0,0,9,9
367,0,-1,-1,1,-1,-1,-2,0,-3,1,1,1,1,1,1,14,0,0,3,1,3,5,1,9,9,9,0
368,0,0,-1,1,0,-1,0,0,-2,0,2,5,0,0,0,6,1,5,0,0,3,5,1,0,9,0,-9
369,0,0,-1,1,0,-2,0,0,-2,0,2,3,0,0,0,6,2,4,0,0,3,6,2,0,9,0,-9
370,0,-1,-2,2,-1,-2,-1,-2,-1,0,3,3,1,0,0,6,3,3,1,2,2,6,2,0,9,9,0
371,0,1,-1,1,1,0,-1,-1,0,0,2,2,1,0,0,6,4,2,2,1,3,5,2,0,0,9,9
372,0,0,-1,1,0,0,-2,-1,-2,0,3,4,0,0,0,6,5,1,0,0,4,4,1,0,0,9,9
373,0,-1,-2,2,-1,-1,-2,-3,-2,1,1,1,1,1,1,12,0,0,1,2,3,5,1,9,9,9,0
374,0,-1,-3,3,-1,-1,0,-3,0,0,3,3,1,0,0,6,1,5,2,1,2,5,1,0,9,0,-9
375,0,0,-3,3,0,-2,1,-2,2,0,2,4,0,0,0,6,2,4,0,0,3,5,2,0,9,0,-9
376,0,0,-3,3,0,-2,0,-2,1,0,2,4,0,0,0,6,3,3,0,0,2,4,2,0,9,9,0
377,0,1,-2,2,1,0,0,-1,1,0,2,2,1,0,0,6,4,2,1,1,2,5,2,0,0,9,9
