cycle255-floating-screen-checkpoint-v1
index	a	sigma	epsilon	T	q0	M	alpha	initial_l3	final_l3	forward_ratio	reverse_ratio	both_directions_ratio	energy_drift	enstrophy_drift
2977	1,-2,-2,1,-2	1/24	1/256	1/16	9/8	27/16	27/16	0.1415237209591646	0.14153312026837617	1.0000664150797327	0.99993437457880219	1.0000664150797327	9.9920072216264089e-16	2.2204460492503131e-16
3009	1,-2,-2,1,-2	1/24	1/512	1/16	9/8	27/16	27/16	0.14152372095939342	0.14153312026861983	1.0000664150798375	0.99993437457869838	1.0000664150798375	1.4432899320127035e-15	1.5543122344752192e-15
3041	1,-2,-2,1,-2	1/24	1/1024	1/16	9/8	27/16	27/16	0.14152372095950783	0.14153312026874157	1.0000664150798892	0.99993437457864554	1.0000664150798892	1.9984014443252818e-15	2.2204460492503131e-15
3073	1,-2,-2,1,-1	1/16	1/256	1/16	9/8	19/16	19/16	0.10852555252643101	0.1085359078760792	1.0000954185388338	0.99990480627290568	1.0000954185388338	2.55351295663786e-15	1.9984014443252818e-15
3105	1,-2,-2,1,-1	1/16	1/512	1/16	9/8	19/16	19/16	0.10852555254189945	0.10853590789162205	1.0000954185395057	0.99990480627223199	1.0000954185395057	1.2212453270876722e-15	1.1102230246251565e-15
3137	1,-2,-2,1,-1	1/16	1/1024	1/16	9/8	19/16	19/16	0.10852555254963371	0.10853590789939342	1.000095418539841	0.99990480627189382	1.000095418539841	1.2212453270876722e-15	3.3306690738754696e-16
3169	1,-2,-2,1,-1	1/24	1/256	1/16	9/8	19/16	19/16	0.10852555255325741	0.1085359079030344	1.0000954185399968	0.99990480627173761	1.0000954185399968	6.6613381477509392e-16	1.5543122344752192e-15
3201	1,-2,-2,1,-1	1/24	1/512	1/16	9/8	19/16	19/16	0.10852555255531275	0.10853590790509968	1.0000954185400865	0.99990480627164713	1.0000954185400865	9.9920072216264089e-16	8.8817841970012523e-16
3233	1,-2,-2,1,-1	1/24	1/1024	1/16	9/8	19/16	19/16	0.10852555255634037	0.10853590790613228	1.0000954185401316	0.99990480627160094	1.0000954185401316	5.5511151231257827e-16	4.4408920985006262e-16
3265	1,-2,-2,1,0	1/16	1/256	1/16	17/16	39/64	39/64	0.093764001565471919	0.093766739623416917	1.0000292015901548	0.99997097638126375	1.0000292015901548	8.8817841970012523e-16	1.5543122344752192e-15
3267	1,-2,-2,1,0	1/16	1/256	3/16	5/4	57/64	57/64	0.093764001565471919	0.093772265106383715	1.000088131273984	0.99991347039867562	1.000088131273984	2.1094237467877974e-15	8.8817841970012523e-16
3297	1,-2,-2,1,0	1/16	1/512	1/16	17/16	39/64	39/64	0.09376400158266672	0.093766739640467237	1.0000292015886085	0.99997097638281207	1.0000292015886085	2.2204460492503131e-16	4.4408920985006262e-16
3299	1,-2,-2,1,0	1/16	1/512	3/16	5/4	57/64	57/64	0.09376400158266672	0.09377226512314453	1.0000881312693393	0.99991347040331668	1.0000881312693393	9.9920072216264089e-16	1.2212453270876722e-15
3329	1,-2,-2,1,0	1/16	1/1024	1/16	17/16	39/64	39/64	0.093764001591264218	0.093766739648992251	1.0000292015878329	0.99997097638358368	1.0000292015878329	2.2204460492503131e-16	3.3306690738754696e-16
